National ID, First Name, Last Name, Date Of Birth, Email, Mobile Number, Home number
0020047576,Kourosh,Khosravi,1997-05-13,Kourosh@gmail.com,09302984138,02165553438
2513987210,Ali,Karimi,2000-05-01,,09191217044,02165553454
6901320762,Rose,Karimi,2000-05-01,rose@gmail.com,,02165553513
9804998546,Mark,Robinson,2000-05-01,mark@gmail.com,09123308792,
,,,,
940155460,Susan,King,2000-05-01,susan@gmail.com,09302984138,02165553438
9401554600,,King,2000-05-01,susan@gmail.com,09302984138,02165553438
9401554600,Susan,,2000-05-01,susan@gmail.com,09302984138,02165553438
9401554600,Susan,King,2000-05,susan@gmail.com,09302984138,02165553438
9401554600,Susan,King,2000-05-01,gmail.com,09302984138,02165553438
9401554600,Susan,King,2000-05-01,susan@gmail.com,0930,02165553438
9401554600,Susan,King,2000-05-01,susan@gmail.com,09302984138,021
9401554600,Susan,King,2000-05-01,,,
